auction_date,security_id,maturity_date,settlement_date,years_to_maturity,maturity_bucket,amount_offered_min,amount_offered_max,bid_amount,amount_served,bid_to_cover,outstanding_notional,total_amount_issued,Vix_euro,auction_yield,weighted_average_price,benchmark_yield,auction_premium,auction_premium_bp,shock_outstanding,shock_mean_scaled,shock_zscore,shock_log_dev,shock_rolling,log_total_amount_issued,log_outstanding_notional,year,month,auction_type,maturity_year,class_bucket_raw
5/16/2024,FR001400PM68,12/31/2030,5/20/2024,6.625598905,medium,10500,12000,8459,3190,2.65,0,3190,12.7936,2.77,0.999,2.465249557,0.304750444,30.47504435,,1.083759991,0.178559052,0.193751253,-0.047405748,8.067776196,,2024,5,adju_MT,2030,Medium
6/20/2024,FR0000571218,12/31/2029,6/24/2024,5.53045859,medium,8000,10500,6372,2379,2.68,721,3100,17.7544,3.03,1.1093,2.450911465,0.579088535,57.90885354,4.299583911,1.05318369,0.113376676,0.165132448,-0.032836752,8.03915739,6.580639137,2024,6,adju_MT,2029,Medium
6/20/2024,FR0014007L00,12/31/2032,6/24/2024,8.531143053,medium,8000,10500,4490,1782,2.52,542,2324,17.7544,3.05,0.7882,2.507990125,0.542009875,54.20098748,4.287822878,0.789548031,-0.448640261,-0.122979825,-0.292056964,7.751045118,6.295266001,2024,6,adju_MT,2032,Benchmark
6/20/2024,FR001400PM68,12/31/2030,6/24/2024,6.529774127,medium,8000,10500,7595,3026,2.51,913,3939,17.7544,3.01,0.9865,2.450911465,0.559088535,55.90885354,4.314348302,1.33822276,0.721021276,0.40465722,0.180254189,8.278682163,6.816735881,2024,6,adju_MT,2030,Medium
7/4/2024,FR001400H7V7,12/31/2033,7/8/2024,9.492128679,medium,8000,10500,10756,3984,2.7,716,4700,14.6177,3.17,0.987,2.621534949,0.548465051,54.84650509,6.56424581,1.596762369,1.272174483,0.581292845,0.328465434,8.455317788,6.573680167,2024,7,adju_LT,2033,Benchmark
7/18/2024,FR001400BKZ3,12/31/2032,7/22/2024,8.454483231,medium,9500,11500,5362,2088,2.57,0,2088,15.7337,2.96,0.9298,2.433846273,0.526153727,52.61537267,,0.709370176,-0.619562937,-0.230062994,-0.318371011,7.643961949,,2024,7,adju_MT,2032,Benchmark
7/18/2024,FR001400PM68,12/31/2030,7/22/2024,6.453114305,medium,9500,11500,7435,2922,2.54,0,2922,15.7337,2.87,0.9938,2.355394197,0.514605803,51.46058027,,0.992710562,-0.01553958,0.105998649,-0.131692338,7.980023592,,2024,7,adju_MT,2030,Medium
8/14/2024,FR0014002WK3,12/31/2031,8/19/2024,7.378507871,medium,7500,9000,4150,1698,2.44,0,1698,16.7631,2.7,0.824138693,2.273480778,0.426519222,42.65192219,,0.576872873,-0.902019903,-0.436818576,-0.419520255,7.437206367,,2024,8,adju_MT,2031,Benchmark
8/14/2024,FR001400HI98,12/31/2029,8/19/2024,5.379876797,medium,7500,9000,6071,2662,2.28,0,2662,16.7631,2.6,1.006183772,2.060581417,0.539418583,53.94185828,,0.904379027,-0.203844224,0.012808056,-0.019912251,7.886832999,,2024,8,adju_MT,2029,Medium
8/14/2024,FR001400PM68,12/31/2030,8/19/2024,6.379192334,medium,7500,9000,7022,2806,2.5,0,2806,16.7631,2.65,1.005070385,2.060581417,0.589418583,58.94185828,,0.953301108,-0.099552421,0.065490318,-0.010461972,7.939515261,,2024,8,adju_MT,2030,Medium
